Customer ID,Customer Name,Country/Region,City,State,Postal Code,Region,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Transaction_Count_TY,Transaction_Count_LY,Transaction_Count_Change,Transaction_Count_Change_Type,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
KB-16585,Ken Black,United States,Fremont,Nebraska,68025,Central,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748,1467,5281,0.831,42,33,9,Increase,0.68,0.217
SF-20065,Sandra Flanagan,United States,Philadelphia,Pennsylvania,19140,East,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095,1587,7508,1.433,26,41,-15,Decrease,1.364,0.174
EB-13870,Emily Burns,United States,Orem,Utah,84057,West,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751,0,11751,3.397,17,23,-6,Decrease,3.25,0
EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049,West,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547,1666,6881,1.163,33,26,7,Increase,2,0.195
TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436,680,1756,1.19,29,39,-10,Decrease,0.611,0.279
MA-17560,Matt Abelman,United States,Houston,Texas,77095,Central,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234,972,3262,1.707,27,23,4,Increase,1.7,0.23
GH-14485,Gene Hale,United States,Richardson,Texas,75080,Central,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367,2362,28005,1.708,27,28,-1,Decrease,0.929,0.078
SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Central,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535,1291,12244,0.653,21,26,-5,Decrease,1.625,0.095
LC-16930,Linda Cazamias,United States,Naperville,Illinois,60540,Central,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193,2517,676,1.831,30,28,2,Increase,1.143,0.788
RA-19885,Ruben Ausman,United States,Los Angeles,California,90049,West,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470,1157,13313,0.966,21,23,-2,Decrease,0.909,0.08
ES-14080,Erin Smith,United States,Melbourne,Florida,32935,South,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,19179,0.906,27,16,11,Increase,0.929,0.086
ON-18715,Odella Nelson,United States,Eagan,Minnesota,55122,Central,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,16,18,-2,Decrease,0.6,0
PO-18865,Patrick O'Donnell,United States,Westland,Michigan,48185,Central,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,680,3790,1.608,18,10,8,Increase,1.571,0.152
LH-16900,Lena Hernandez,United States,Dover,Delaware,19901,East,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492,1560,932,0.573,23,34,-11,Decrease,0.353,0.626
DP-13000,Darren Powers,United States,New Albany,Indiana,47150,Central,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217,0,12217,1.075,21,33,-12,Decrease,0.75,0
JM-15265,Janet Molinari,United States,New York City,New York,10024,East,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768,1669,6099,0.797,22,32,-10,Decrease,0.833,0.215
TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784,1374,13410,0.921,23,25,-2,Decrease,1.3,0.093
KM-16720,Kunst Miller,United States,Los Angeles,California,90004,West,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215,1010,9205,0.843,40,6,34,Increase,1,0.099
PS-18970,Paul Stevenson,United States,Chicago,Illinois,60610,Central,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,0,10100,0.525,18,18,0,Decrease,1.571,0
BS-11590,Brendan Sweed,United States,Gilbert,Arizona,85234,West,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785,1362,3423,0.739,38,14,24,Increase,0.9,0.285
KD-16270,Karen Daniels,United States,Springfield,Virginia,22153,South,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753,1811,942,0.977,25,31,-6,Decrease,2.571,0.658
HM-14980,Henry MacAllister,United States,New York City,New York,10009,East,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,1690,761,1.323,26,7,19,Increase,1.6,0.69
JE-15745,Joel Eaton,United States,Memphis,Tennessee,38109,South,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923,2517,6406,1.726,24,37,-13,Decrease,1.667,0.282
KB-16600,Ken Brennan,United States,Houston,Texas,77041,Central,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650,1490,1160,1.75,28,31,-3,Decrease,1,0.562
SC-20770,Stewart Carmichael,United States,Decatur,Alabama,35601,South,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555,1696,10859,0.519,24,18,6,Increase,0.714,0.135
DN-13690,Duane Noonan,United States,San Francisco,California,94122,West,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520,1914,1606,0.51,43,20,23,Increase,0.483,0.544
JC-16105,Julie Creighton,United States,Durham,North Carolina,27707,South,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035,2298,737,1.724,37,16,21,Increase,1.176,0.757
CS-12400,Christopher Schild,United States,Chicago,Illinois,60623,Central,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433,0,15433,0.865,22,20,2,Increase,1.2,0
PG-18895,Paul Gonzalez,United States,Rochester,Minnesota,55901,Central,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672,886,2786,1.32,28,8,20,Increase,0.556,0.241
GM-14455,Gary Mitchum,United States,Houston,Texas,77095,Central,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,1.052,16,23,-7,Decrease,0.143,0.077
JS-15685,Jim Sink,United States,Los Angeles,California,90036,West,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,31848,1.042,28,26,2,Increase,0.474,0.018
KB-16315,Karl Braun,United States,Minneapolis,Minnesota,55407,Central,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,4001,0.803,28,35,-7,Decrease,0.556,0.355
RB-19705,Roger Barcio,United States,Portland,Oregon,97206,West,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,2517,14787,1.449,33,16,17,Increase,1.2,0.145
PN-18775,Parhena Norris,United States,New York City,New York,10009,East,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,0,3906,1.214,32,18,14,Increase,1,0
KD-16345,Katherine Ducich,United States,San Francisco,California,94122,West,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,2055,7775,0.977,23,13,10,Increase,0.917,0.209
ER-13855,Elpida Rittenbach,United States,Saint Paul,Minnesota,55106,Central,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,34516,1.621,28,23,5,Increase,1.333,0
RB-19465,Rick Bensley,United States,Chicago,Illinois,60610,Central,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.316,27,10,17,Increase,0.588,0.626
GZ-14470,Gary Zandusky,United States,Rochester,Minnesota,55901,Central,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.357,27,18,9,Increase,1.7,0.793
LC-16870,Lena Cacioppo,United States,Aurora,Colorado,80013,West,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,1435,18023,0.787,27,36,-9,Decrease,0.8,0.074
JM-15250,Janet Martin,United States,Charlotte,North Carolina,28205,South,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,3518,0.624,40,30,10,Increase,0.6,0.259
PA-19060,Pete Armstrong,United States,Orland Park,Illinois,60462,Central,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,30,22,8,Increase,1.143,0.591
CV-12805,Cynthia Voltz,United States,New York City,New York,10035,East,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,19,12,7,Increase,0.9,0.562
CL-12565,Clay Ludtke,United States,Urbandale,Iowa,50322,Central,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,992,1.224,38,6,32,Increase,1.923,0.687
RC-19960,Ryan Crowe,United States,Columbus,Ohio,43229,East,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,0.664,35,45,-10,Decrease,0.25,0.127
DK-13090,Dave Kipp,United States,Seattle,Washington,98103,West,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,15769,1.041,15,7,8,Increase,0.364,0
GG-14650,Greg Guthrie,United States,Bristol,Tennessee,37620,South,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.678,32,6,26,Increase,0.6,0.667
SC-20725,Steven Cartwright,United States,Wilmington,Delaware,19805,East,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,439,0.75,40,35,5,Increase,0.6,0.843
AD-10180,Alan Dominguez,United States,Houston,Texas,77041,Central,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,29,21,8,Increase,1.417,0.422
PF-19165,Philip Fox,United States,Bloomington,Illinois,61701,Central,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,978,5295,2.275,25,6,19,Increase,1.083,0.156
TS-21610,Troy Staebel,United States,Phoenix,Arizona,85023,West,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1583,0.69,27,31,-4,Decrease,1.25,0.525
LS-16975,Lindsay Shagiari,United States,Los Angeles,California,90004,West,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.901,33,5,28,Increase,0.833,0.587
DW-13585,Dorothy Wardle,United States,Columbus,Ohio,43229,East,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,34516,0.763,15,19,-4,Decrease,0.5,0
LC-16885,Lena Creighton,United States,Roseville,California,95661,West,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,4675,0.944,28,16,12,Increase,1.154,0.211
JD-15895,Jonathan Doherty,United States,Philadelphia,Pennsylvania,19140,East,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,21855,0.997,26,38,-12,Decrease,0.733,0.088
SH-19975,Sally Hughsby,United States,San Francisco,California,94122,West,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,0.989,23,15,8,Increase,0.917,0.111
SG-20080,Sandra Glassco,United States,Independence,Missouri,64055,Central,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,33001,0.592,32,16,16,Increase,0.6,0.044
HA-14920,Helen Andreada,United States,Pasadena,California,91104,West,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,1817,4767,0.62,35,32,3,Increase,0.667,0.276
MG-17680,Maureen Gastineau,United States,Newark,Ohio,43055,East,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,28,20,8,Increase,0.556,0.704
JE-16165,Justin Ellison,United States,Franklin,Wisconsin,53132,Central,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,580,1.715,17,14,3,Increase,2.4,0.656
TW-21025,Tamara Willingham,United States,Scottsdale,Arizona,85254,West,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.072,15,12,3,Increase,2,0.053
SP-20650,Stephanie Phelps,United States,San Jose,California,95123,West,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,32753,1.266,41,33,8,Increase,1.05,0.051
NK-18490,Neil Knudson,United States,Seattle,Washington,98105,West,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1182,0.758,36,48,-12,Decrease,0.286,0.467
DB-13060,Dave Brooks,United States,Seattle,Washington,98115,West,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,2030,880,0.769,21,36,-15,Decrease,0.4,0.698
NP-18670,Nora Paige,United States,Edmond,Oklahoma,73034,Central,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,21385,0.414,35,14,21,Increase,0.522,0.067
TT-21070,Ted Trevino,United States,Los Angeles,California,90045,West,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,1932,22380,1.312,24,31,-7,Decrease,1.182,0.079
EM-13960,Eric Murdock,United States,Philadelphia,Pennsylvania,19134,East,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,3757,0.857,33,19,14,Increase,0.435,0.287
RD-19900,Ruben Dartt,United States,Carlsbad,New Mexico,88220,West,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,4483,0.475,23,20,3,Increase,1.875,0.36
MJ-17740,Max Jones,United States,Seattle,Washington,98115,West,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,5237,0.751,57,21,36,Increase,0.966,0.256
BM-11140,Becky Martin,United States,San Antonio,Texas,78207,Central,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,713,0.703,23,32,-9,Decrease,0.353,0.719
CS-12130,Chad Sievert,United States,Los Angeles,California,90004,West,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904,1899,27005,0.85,35,43,-8,Decrease,0.4,0.066
JB-15400,Jennifer Braxton,United States,Chicago,Illinois,60623,Central,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,1695,6872,1.242,41,19,22,Increase,1.412,0.198
SJ-20500,Shirley Jackson,United States,Houston,Texas,77036,Central,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516,1533,32983,0.924,29,31,-2,Decrease,0.526,0.044
JK-15640,Jim Kriz,United States,New York City,New York,10009,East,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,0,2158,0.585,12,25,-13,Decrease,0.714,0
DK-13150,David Kendrick,United States,Decatur,Illinois,62521,Central,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133,1417,8716,0.383,20,6,14,Increase,0.818,0.14
RM-19675,Robert Marley,United States,Monroe,Louisiana,71203,South,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516,1219,33297,1.129,27,12,15,Increase,2,0.035
SK-19990,Sally Knutson,United States,Fairfield,Connecticut,6824,East,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,1910,1175,0.921,35,34,1,Increase,0.667,0.619
FM-14290,Frank Merwin,United States,Los Angeles,California,90032,West,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,2056,16984,0.607,31,6,25,Increase,0.722,0.108
AM-10360,Alice McCarthy,United States,Grand Prairie,Texas,75051,Central,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,4026,0.483,32,6,26,Increase,0.6,0
MP-17470,Mark Packer,United States,New York City,New York,10035,East,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756,837,11919,1.932,14,7,7,Increase,1.8,0.066
MZ-17515,Mary Zewe,United States,Redlands,California,92374,West,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,0,5266,1.702,29,38,-9,Decrease,1.636,0
CB-12025,Cassandra Brandow,United States,Hamilton,Ohio,45011,East,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930,0,9930,0.731,21,13,8,Increase,1.333,0
VM-21685,Valerie Mitchum,United States,Westfield,New Jersey,7090,East,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302,1953,29349,0.875,35,37,-2,Decrease,2.182,0.062
FH-14365,Fred Hopkins,United States,Philadelphia,Pennsylvania,19120,East,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576,0,6576,0.579,34,20,14,Increase,0.619,0
MB-17305,Maria Bertelson,United States,Akron,Ohio,44312,East,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,2037,627,0.85,29,36,-7,Decrease,0.933,0.765
BS-11755,Bruce Stewart,United States,Denver,Colorado,80219,West,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,2440,95,1.705,20,14,6,Increase,1.222,0.963
LC-17140,Logan Currie,United States,Dallas,Texas,75220,Central,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,895,814,1.656,32,5,27,Increase,0.882,0.524
HK-14890,Heather Kirkland,United States,Franklin,Tennessee,37064,South,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,1200,2254,0.597,30,30,0,Decrease,0.304,0.347
LE-16810,Laurel Elliston,United States,Whittier,California,90604,West,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,2083,1.047,42,35,7,Increase,0.68,0.45
JH-15985,Joseph Holt,United States,Saginaw,Michigan,48601,Central,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,2250,7439,0.576,19,12,7,Increase,0.727,0.232
MS-17980,Michael Stewart,United States,Dallas,Texas,75220,Central,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449,1628,3821,0.696,18,9,9,Increase,0.385,0.299
VW-21775,Victoria Wilson,United States,Medina,Ohio,44256,East,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032,1960,21072,0.619,22,33,-11,Decrease,1,0.085
JH-15910,Jonathan Howell,United States,Los Angeles,California,90032,West,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516,2053,32463,1.034,26,14,12,Increase,0.733,0.059
JB-15925,Joni Blumstein,United States,Dublin,Ohio,43017,East,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,1676,0.562,33,28,5,Increase,0.5,0.43
DS-13180,David Smith,United States,Detroit,Michigan,48227,Central,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,1879,1152,0.788,15,15,0,Decrease,1.5,0.62
VD-21670,Valerie Dominguez,United States,Columbia,Tennessee,38401,South,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862,0,1862,0.883,34,35,-1,Decrease,0.789,0
EA-14035,Erin Ashbrook,United States,Charlotte,North Carolina,28205,South,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358,926,7432,0.762,37,44,-7,Decrease,0.542,0.111
DB-13120,David Bremer,United States,Santa Clara,California,95051,West,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,931,33585,0.828,21,5,16,Increase,1.1,0.027
KL-16645,Ken Lonsdale,United States,Chicago,Illinois,60610,Central,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,2440,12010,1.283,30,14,16,Increase,0.667,0.169
DW-13480,Dianna Wilson,United States,Lakeville,Minnesota,55044,Central,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,44,37,7,Increase,1.095,0
LH-17155,Logan Haushalter,United States,San Francisco,California,94109,West,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,1960,31831,0.618,31,36,-5,Decrease,0.824,0.058
KC-16540,Kelly Collister,United States,San Diego,California,92037,West,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466,1886,6580,0.56,32,32,0,Decrease,0.391,0.223
DL-13315,Delfina Latchford,United States,New York City,New York,10024,East,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,865,14223,0.939,21,15,6,Increase,1.625,0.057
DR-12880,Dan Reichenbach,United States,Chicago,Illinois,60623,Central,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,1674,1589,0.588,35,20,15,Increase,0.346,0.513
CC-12670,Craig Carreira,United States,New York City,New York,10009,East,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,788,1.674,24,23,1,Increase,3,0.473
Dl-13600,Dorris liebe,United States,Pasadena,Texas,77506,Central,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551,1294,12257,0.791,37,27,10,Increase,1.056,0.095
SB-20290,Sean Braxton,United States,Houston,Texas,77036,Central,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,895,17991,1.826,18,23,-5,Decrease,1.571,0.047
RC-19825,Roy Collins,United States,Chicago,Illinois,60610,Central,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976,1273,10703,1.024,36,21,15,Increase,1.118,0.106
AH-10210,Alan Hwang,United States,Brentwood,California,94513,West,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964,1559,8405,1.873,25,24,1,Increase,0.786,0.156
CB-12535,Claudia Bergmann,United States,Chapel Hill,North Carolina,27514,South,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,22963,0.712,24,14,10,Increase,1,0.05
CA-12310,Christine Abelman,United States,Cincinnati,Ohio,45231,East,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362,1901,3461,0.816,38,42,-4,Decrease,1,0.355
KH-16690,Kristen Hastings,United States,San Francisco,California,94110,West,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,33493,1.004,13,27,-14,Decrease,0.625,0.03
BB-10990,Barry Blumstein,United States,Inglewood,California,90301,West,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1223,0.766,29,28,1,Increase,0.611,0.615
AG-10495,Andrew Gjertsen,United States,Philadelphia,Pennsylvania,19140,East,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262,1836,10426,1.584,38,20,18,Increase,1.533,0.15
JO-15280,Jas O'Carroll,United States,Los Angeles,California,90004,West,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,1540,2248,0.566,47,51,-4,Decrease,0.382,0.407
AH-10195,Alan Haines,United States,Tamarac,Florida,33319,South,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516,1527,32989,0.526,42,18,24,Increase,0.355,0.044
NZ-18565,Nick Zandusky,United States,Columbus,Ohio,43229,East,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,0,2926,0.676,24,25,-1,Decrease,0.846,0
KL-16555,Kelly Lampkin,United States,Colorado Springs,Colorado,80906,West,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,32090,0.567,30,34,-4,Decrease,0.364,0
AS-10225,Alan Schoenberger,United States,New York City,New York,10024,East,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,2227,9442,0.622,23,7,16,Increase,0.353,0.191
CR-12625,Corey Roper,United States,Lakewood,New Jersey,8701,East,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532,1300,12232,0.846,29,25,4,Increase,1.417,0.096
